F AFIO_2_4.000;1                    	afio_2.4.2.orig.tar.gz
F AFIO_2_4.DSC;1                    	afio_2.4.2-2.dsc
F AFIO_2_4.GZ;1                     	afio_2.4.2-2.diff.gz
F ASCII_2_.000;1                    	ascii_2.0-1.diff.gz
F ASCII_2_.DSC;1                    	ascii_2.0-1.dsc
F ASCII_2_.GZ;1                     	ascii_2.0.orig.tar.gz
F BONNIE_1.000;1                    	bonnie_1.orig.tar.gz
F BONNIE_1.DSC;1                    	bonnie_1-1.dsc
F BONNIE_1.GZ;1                     	bonnie_1-1.diff.gz
F BSDMAINU.GZ;1                     	bsdmainutils_3.2-0.tar.gz
F BUG_2_95.DSC;1                    	bug_2.95.dsc
F BUG_2_95.GZ;1                     	bug_2.95.tar.gz
F CPIO_2_4.000;1                    	cpio_2.4.2-10.diff.gz
F CPIO_2_4.DSC;1                    	cpio_2.4.2-10.dsc
F CPIO_2_4.GZ;1                     	cpio_2.4.2.orig.tar.gz
F DDS2TAR_.000;1                    	dds2tar_2.4.13.orig.tar.gz
F DDS2TAR_.DSC;1                    	dds2tar_2.4.13-2.dsc
F DDS2TAR_.GZ;1                     	dds2tar_2.4.13-2.diff.gz
F DEBMAKE_.DSC;1                    	debmake_3.3.1.dsc
F DEBMAKE_.GZ;1                     	debmake_3.3.1.tar.gz
F DPKG-CRO.DSC;1                    	dpkg-cross_0.1.dsc
F DPKG-CRO.GZ;1                     	dpkg-cross_0.1.tar.gz
F DUMP_0_3.000;1                    	dump_0.3-14.diff.gz
F DUMP_0_3.DSC;1                    	dump_0.3-14.dsc
F DUMP_0_3.GZ;1                     	dump_0.3.orig.tar.gz
F DUPLOAD_.DSC;1                    	dupload_1.14.dsc
F DUPLOAD_.GZ;1                     	dupload_1.14.tar.gz
F FDUTILS_.000;1                    	fdutils_4.3.orig.tar.gz
F FDUTILS_.DSC;1                    	fdutils_4.3-6.dsc
F FDUTILS_.GZ;1                     	fdutils_4.3-6.diff.gz
F FILE_3_2.000;1                    	file_3.20.1.orig.tar.gz
F FILE_3_2.DSC;1                    	file_3.20.1-3.dsc
F FILE_3_2.GZ;1                     	file_3.20.1-3.diff.gz
F GIT_4_3_.000;1                    	git_4.3.16.orig.tar.gz
F GIT_4_3_.DSC;1                    	git_4.3.16-2.dsc
F GIT_4_3_.GZ;1                     	git_4.3.16-2.diff.gz
F GRMONITO.000;1                    	grmonitor_0.53.orig.tar.gz
F GRMONITO.DSC;1                    	grmonitor_0.53-2.dsc
F GRMONITO.GZ;1                     	grmonitor_0.53-2.diff.gz
F HEXTYPE_.000;1                    	hextype_3.0.orig.tar.gz
F HEXTYPE_.DSC;1                    	hextype_3.0-2.dsc
F HEXTYPE_.GZ;1                     	hextype_3.0-2.diff.gz
F HWTOOLS_.000;1                    	hwtools_0.2-5.diff.gz
F HWTOOLS_.DSC;1                    	hwtools_0.2-5.dsc
F HWTOOLS_.GZ;1                     	hwtools_0.2.orig.tar.gz
F KON2_0_2.000;1                    	kon2_0.2.1.orig.tar.gz
F KON2_0_2.DSC;1                    	kon2_0.2.1-5.dsc
F KON2_0_2.GZ;1                     	kon2_0.2.1-5.diff.gz
F KONFONT_.000;1                    	konfont_0.1-3.diff.gz
F KONFONT_.DSC;1                    	konfont_0.1-3.dsc
F KONFONT_.GZ;1                     	konfont_0.1.orig.tar.gz
F LDE_2_3_.000;1                    	lde_2.3.4-1.diff.gz
F LDE_2_3_.DSC;1                    	lde_2.3.4-1.dsc
F LDE_2_3_.GZ;1                     	lde_2.3.4.orig.tar.gz
F LEAVE_1_.000;1                    	leave_1.4-2.diff.gz
F LEAVE_1_.DSC;1                    	leave_1.4-2.dsc
F LEAVE_1_.GZ;1                     	leave_1.4.orig.tar.gz
F LOCKVC_2.000;1                    	lockvc_2.0b.orig.tar.gz
F LOCKVC_2.DSC;1                    	lockvc_2.0b-3.dsc
F LOCKVC_2.GZ;1                     	lockvc_2.0b-3.diff.gz
F LSOF_3_6.000;1                    	lsof_3.65.orig.tar.gz
F LSOF_3_6.DSC;1                    	lsof_3.65-5.dsc
F LSOF_3_6.GZ;1                     	lsof_3.65-5.diff.gz
F MC_3_5_1.000;1                    	mc_3.5.17.orig.tar.gz
F MC_3_5_1.DSC;1                    	mc_3.5.17-1.dsc
F MC_3_5_1.GZ;1                     	mc_3.5.17-1.diff.gz
F MMV_1_01.000;1                    	mmv_1.01b-1.diff.gz
F MMV_1_01.DSC;1                    	mmv_1.01b-1.dsc
F MMV_1_01.GZ;1                     	mmv_1.01b.orig.tar.gz
F OFFIX-CL.000;1                    	offix-clipboard_2.4-1.diff.gz
F OFFIX-CL.DSC;1                    	offix-clipboard_2.4-1.dsc
F OFFIX-CL.GZ;1                     	offix-clipboard_2.4.orig.tar.gz
F OFFIX-ED.000;1                    	offix-editor_2.4-1.diff.gz
F OFFIX-ED.DSC;1                    	offix-editor_2.4-1.dsc
F OFFIX-ED.GZ;1                     	offix-editor_2.4.orig.tar.gz
F OFFIX-EX.000;1                    	offix-execute_2.4a-1.diff.gz
F OFFIX-EX.DSC;1                    	offix-execute_2.4a-1.dsc
F OFFIX-EX.GZ;1                     	offix-execute_2.4a.orig.tar.gz
F OFFIX-FI.000;1                    	offix-files_2.4e-1.diff.gz
F OFFIX-FI.DSC;1                    	offix-files_2.4e-1.dsc
F OFFIX-FI.GZ;1                     	offix-files_2.4e.orig.tar.gz
F OFFIX-TR.000;1                    	offix-trash_2.4-1.diff.gz
F OFFIX-TR.DSC;1                    	offix-trash_2.4-1.dsc
